Label,category,Vocabulary ID,Parent,GrandParent,GreatGrandParent,GreatGreatGrandParent,GreatGreatGreatGrandParent,n
Polymyalgia Rheumatica,C,C17.300.775.720,Rheumatic Diseases,Connective Tissue Diseases,Skin and Connective Tissue Diseases,NULL,NULL,11
Polymyalgia Rheumatica,C,C05.651.742,Muscular Diseases,Musculoskeletal Diseases,NULL,NULL,NULL,11
Polymyalgia Rheumatica,C,C05.799.720,Rheumatic Diseases,Musculoskeletal Diseases,NULL,NULL,NULL,11
Primate Diseases,C,C22.735,Animal Diseases,NULL,NULL,NULL,NULL,11
Prodromal Symptoms,C,C23.888.672,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,11
Respiratory Hypersensitivity,C,C20.543.480.680,"Hypersensitivity, Immediate",Hypersensitivity,Immune System Diseases,NULL,NULL,11
Respiratory Hypersensitivity,C,C08.674,Respiratory Tract Diseases,NULL,NULL,NULL,NULL,11
Simian Acquired Immunodeficiency Syndrome,C,C01.925.839.850,Slow Virus Diseases,Virus Diseases,Infections,NULL,NULL,11
Simian Acquired Immunodeficiency Syndrome,C,C01.925.782.815.616.850,Lentivirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,Infections,11
Simian Acquired Immunodeficiency Syndrome,C,C22.735.500.850,Monkey Diseases,Primate Diseases,Animal Diseases,NULL,NULL,11
"Skin Diseases, Bacterial",C,C17.800.838.765,"Skin Diseases, Infectious",Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,11
"Skin Diseases, Bacterial",C,C01.800.720,"Skin Diseases, Infectious",Infections,NULL,NULL,NULL,11
"Skin Diseases, Bacterial",C,C01.150.252.819,Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,NULL,11
"Sleep Apnea, Obstructive",C,C08.618.085.852.850,Sleep Apnea Syndromes,Apnea,Respiration Disorders,Respiratory Tract Diseases,NULL,11
"Sleep Apnea, Obstructive",C,C10.886.425.800.750.850,Sleep Apnea Syndromes,"Sleep Disorders, Intrinsic",Dyssomnias,Sleep Wake Disorders,Nervous System Diseases,11
Uveitis,C,C11.941.879,Uveal Diseases,Eye Diseases,NULL,NULL,NULL,11
Wet Macular Degeneration,C,C11.768.585.439.622,Macular Degeneration,Retinal Degeneration,Retinal Diseases,Eye Diseases,NULL,11
Wound Infection,C,C01.947,Infections,NULL,NULL,NULL,NULL,11
Xerophthalmia,C,C11.496.260.892,Dry Eye Syndromes,Lacrimal Apparatus Diseases,Eye Diseases,NULL,NULL,11
Xerophthalmia,C,C11.187.810,Conjunctival Diseases,Eye Diseases,NULL,NULL,NULL,11
Actinobacillus Infections,C,C01.150.252.400.700.030,Pasteurellaceae Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,10
Amenorrhea,C,C23.550.568.500,Menstruation Disturbances,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
Amphetamine-Related Disorders,C,C25.775.225,Substance-Related Disorders,Chemically-Induced Disorders,NULL,NULL,NULL,10
Animal Diseases,C,C22,NULL,NULL,NULL,NULL,NULL,10
Aortic Aneurysm,C,C14.907.109.139,Aortic Diseases,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,10
Aortic Aneurysm,C,C14.907.055.239,Aneurysm,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,10
Aortic Rupture,C,C14.907.055.185.125,"Aneurysm, Ruptured",Aneurysm,Vascular Diseases,Cardiovascular Diseases,NULL,10
Aortic Rupture,C,C14.907.055.239.175,Aortic Aneurysm,Aneurysm,Vascular Diseases,Cardiovascular Diseases,NULL,10
Aortic Rupture,C,C14.907.109.139.175,Aortic Aneurysm,Aortic Diseases,Vascular Diseases,Cardiovascular Diseases,NULL,10
Aortic Rupture,C,C26.761.125,Rupture,Wounds and Injuries,NULL,NULL,NULL,10
Appendicitis,C,C01.463.099,Intraabdominal Infections,Infections,NULL,NULL,NULL,10
Appendicitis,C,C06.405.205.099,Gastroenteritis,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,10
Appendicitis,C,C06.405.469.110.207,Cecal Diseases,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,10
"Arthritis, Infectious",C,C05.550.114.099,Arthritis,Joint Diseases,Musculoskeletal Diseases,NULL,NULL,10
"Arthritis, Infectious",C,C01.100,Infections,NULL,NULL,NULL,NULL,10
beta-Thalassemia,C,C15.378.071.141.150.875.150,Thalassemia,"Anemia, Hemolytic, Congenital","Anemia, Hemolytic",Anemia,Hematologic Diseases,10
beta-Thalassemia,C,C16.320.365.826.150,Thalassemia,Hemoglobinopathies,"Genetic Diseases, Inborn","Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,10
beta-Thalassemia,C,C16.320.070.875.150,Thalassemia,"Anemia, Hemolytic, Congenital","Genetic Diseases, Inborn","Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,10
beta-Thalassemia,C,C15.378.420.826.150,Thalassemia,Hemoglobinopathies,Hematologic Diseases,Hemic and Lymphatic Diseases,NULL,10
Candidiasis,C,C01.150.703.160,Mycoses,Bacterial Infections and Mycoses,Infections,NULL,NULL,10
Central Nervous System Diseases,C,C10.228,Nervous System Diseases,NULL,NULL,NULL,NULL,10
Chromosome Inversion,C,C23.550.210.190,Chromosome Aberrations,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
Clubfoot,C,C16.131.621.585.512.500.681.063,Talipes,"Foot Deformities, Congenital","Lower Extremity Deformities, Congenital","Limb Deformities, Congenital",Musculoskeletal Abnormalities,10
Clubfoot,C,C05.330.488.655.063,Talipes,"Foot Deformities, Acquired",Foot Deformities,Musculoskeletal Diseases,NULL,10
Clubfoot,C,C05.330.495.681.063,Talipes,"Foot Deformities, Congenital",Foot Deformities,Musculoskeletal Diseases,NULL,10
Clubfoot,C,C05.660.585.512.380.813.063,Talipes,"Foot Deformities, Congenital","Lower Extremity Deformities, Congenital","Limb Deformities, Congenital",Musculoskeletal Abnormalities,10
"Conjunctivitis, Inclusion",C,C01.150.252.289.225.250,"Conjunctivitis, Bacterial","Eye Infections, Bacterial",Bacterial Infections,Bacterial Infections and Mycoses,Infections,10
"Conjunctivitis, Inclusion",C,C01.150.252.400.210.125.245,Chlamydia Infections,Chlamydiaceae Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,10
"Conjunctivitis, Inclusion",C,C01.375.354.220.250,"Conjunctivitis, Bacterial","Eye Infections, Bacterial",Eye Infections,Infections,NULL,10
"Conjunctivitis, Inclusion",C,C11.187.183.220.250,"Conjunctivitis, Bacterial",Conjunctivitis,Conjunctival Diseases,Eye Diseases,NULL,10
"Conjunctivitis, Inclusion",C,C11.294.354.220.250,"Conjunctivitis, Bacterial","Eye Infections, Bacterial",Eye Infections,Eye Diseases,NULL,10
Coronary Restenosis,C,C14.907.585.250.285.200,Coronary Stenosis,Coronary Disease,Myocardial Ischemia,Vascular Diseases,Cardiovascular Diseases,10
Coronary Restenosis,C,C14.280.647.250.285.200,Coronary Stenosis,Coronary Disease,Myocardial Ischemia,Heart Diseases,Cardiovascular Diseases,10
Demyelinating Diseases,C,C10.314,Nervous System Diseases,NULL,NULL,NULL,NULL,10
"Dermatitis, Occupational",C,C17.800.815.255.700,"Dermatitis, Contact","Skin Diseases, Eczematous",Skin Diseases,Skin and Connective Tissue Diseases,NULL,10
"Dermatitis, Occupational",C,C17.800.174.255.700,"Dermatitis, Contact",Dermatitis,Skin Diseases,Skin and Connective Tissue Diseases,NULL,10
"Dermatitis, Occupational",C,C24.270,Occupational Diseases,NULL,NULL,NULL,NULL,10
Encephalitis,C,C10.228.140.430,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,NULL,10
"Encephalitis, Tick-Borne",C,C10.228.140.430.520.750.300.775,"Encephalitis, Arbovirus","Encephalitis, Viral",Infectious Encephalitis,Encephalitis,Brain Diseases,10
"Encephalitis, Tick-Borne",C,C10.228.228.245.340.300.775,"Encephalitis, Arbovirus","Encephalitis, Viral",Central Nervous System Viral Diseases,Central Nervous System Infections,Central Nervous System Diseases,10
"Encephalitis, Tick-Borne",C,C10.228.228.399.750.300.775,"Encephalitis, Arbovirus","Encephalitis, Viral",Infectious Encephalitis,Central Nervous System Infections,Central Nervous System Diseases,10
"Encephalitis, Tick-Borne",C,C01.207.399.750.300.775,"Encephalitis, Arbovirus","Encephalitis, Viral",Infectious Encephalitis,Central Nervous System Infections,Infections,10
"Encephalitis, Tick-Borne",C,C01.207.245.340.300.775,"Encephalitis, Arbovirus","Encephalitis, Viral",Central Nervous System Viral Diseases,Central Nervous System Infections,Infections,10
"Encephalitis, Tick-Borne",C,C01.920.930.400,Tick-Borne Diseases,Vector Borne Diseases,Infections,NULL,NULL,10
"Encephalitis, Tick-Borne",C,C01.925.081.343.360,"Encephalitis, Arbovirus",Arbovirus Infections,Virus Diseases,Infections,NULL,10
"Encephalitis, Tick-Borne",C,C01.920.500.343.360,"Encephalitis, Arbovirus",Arbovirus Infections,Vector Borne Diseases,Infections,NULL,10
"Encephalitis, Tick-Borne",C,C01.925.782.310.360,"Encephalitis, Arbovirus",RNA Virus Infections,Virus Diseases,Infections,NULL,10
"Encephalitis, Tick-Borne",C,C01.925.782.350.250.500,Flavivirus Infections,Flaviviridae Infections,RNA Virus Infections,Virus Diseases,Infections,10
"Encephalitis, Tick-Borne",C,C01.925.182.525.300.350,"Encephalitis, Arbovirus","Encephalitis, Viral",Central Nervous System Viral Diseases,Virus Diseases,Infections,10
Eye Abnormalities,C,C16.131.384,Congenital Abnormalities,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,NULL,NULL,10
Eye Abnormalities,C,C11.250,Eye Diseases,NULL,NULL,NULL,NULL,10
Fecal Incontinence,C,C06.405.469.860.300,Rectal Diseases,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,10
Gastrointestinal Neoplasms,C,C06.301.371,Digestive System Neoplasms,Digestive System Diseases,NULL,NULL,NULL,10
Gastrointestinal Neoplasms,C,C06.405.249,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,NULL,10
Gastrointestinal Neoplasms,C,C04.588.274.476,Digestive System Neoplasms,Neoplasms by Site,Neoplasms,NULL,NULL,10
"Genital Neoplasms, Female",C,C04.588.945.418,Urogenital Neoplasms,Neoplasms by Site,Neoplasms,NULL,NULL,10
"Genital Neoplasms, Female",C,C13.351.937.418,Urogenital Neoplasms,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,10
"Hand, Foot and Mouth Disease",C,C01.925.782.687.359.213.331,Coxsackievirus Infections,Enterovirus Infections,Picornaviridae Infections,RNA Virus Infections,Virus Diseases,10
Hyperphagia,C,C23.888.821.645,"Signs and Symptoms, Digestive",Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
Hypothermia,C,C23.888.119.565,Body Temperature Changes,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
Hypothyroidism,C,C19.874.482,Thyroid Diseases,Endocrine System Diseases,NULL,NULL,NULL,10
"Hypoxia-Ischemia, Brain",C,C14.907.253.092.716,Brain Ischemia,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,NULL,10
"Hypoxia-Ischemia, Brain",C,C10.228.140.624.500,"Hypoxia, Brain",Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,10
"Hypoxia-Ischemia, Brain",C,C10.228.140.300.150.716,Brain Ischemia,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,10
"Hypoxia-Ischemia, Brain",C,C23.888.852.079.797.500,"Hypoxia, Brain",Hypoxia,"Signs and Symptoms, Respiratory",Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",10
Impetigo,C,C01.800.720.770.360,Staphylococcal Skin Infections,"Skin Diseases, Bacterial","Skin Diseases, Infectious",Infections,NULL,10
Impetigo,C,C01.150.252.410.868.951.360,Staphylococcal Skin Infections,Staphylococcal Infections,Gram-Positive Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,10
Impetigo,C,C01.150.252.819.770.360,Staphylococcal Skin Infections,"Skin Diseases, Bacterial",Bacterial Infections,Bacterial Infections and Mycoses,Infections,10
Impetigo,C,C01.150.252.410.890.587,Streptococcal Infections,Gram-Positive Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,10
Impetigo,C,C17.800.838.765.770.360,Staphylococcal Skin Infections,"Skin Diseases, Bacterial","Skin Diseases, Infectious",Skin Diseases,Skin and Connective Tissue Diseases,10
Joint Diseases,C,C05.550,Musculoskeletal Diseases,NULL,NULL,NULL,NULL,10
Lice Infestations,C,C01.610.858.211.465,Ectoparasitic Infestations,"Skin Diseases, Parasitic",Parasitic Diseases,Infections,NULL,10
Lice Infestations,C,C17.800.838.775.580,"Skin Diseases, Parasitic","Skin Diseases, Infectious",Skin Diseases,Skin and Connective Tissue Diseases,NULL,10
Listeriosis,C,C01.150.252.410.514,Gram-Positive Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,10
Lymphatic Diseases,C,C15.604,Hemic and Lymphatic Diseases,NULL,NULL,NULL,NULL,10
Microsatellite Instability,C,C23.550.362.590,Genomic Instability,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
Multiple Organ Failure,C,C23.550.835.525,Shock,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
Nausea,C,C23.888.821.712,"Signs and Symptoms, Digestive",Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,10
"Obesity, Morbid",C,C23.888.144.699.500.500,Obesity,Overweight,Body Weight,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",10
"Obesity, Morbid",C,C18.654.726.500.700,Obesity,Overnutrition,Nutrition Disorders,Nutritional and Metabolic Diseases,NULL,10
Occupational Stress,C,C24.580,Occupational Diseases,NULL,NULL,NULL,NULL,10
Optic Atrophy,C,C10.292.700.225,Optic Nerve Diseases,Cranial Nerve Diseases,Nervous System Diseases,NULL,NULL,10
Optic Atrophy,C,C11.640.451,Optic Nerve Diseases,Eye Diseases,NULL,NULL,NULL,10
Peripheral Vascular Diseases,C,C14.907.617,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,NULL,10
Pneumothorax,C,C08.528.778,Pleural Diseases,Respiratory Tract Diseases,NULL,NULL,NULL,10
Precancerous Conditions,C,C04.834,Neoplasms,NULL,NULL,NULL,NULL,10
"Pregnancy Complications, Cardiovascular",C,C14.583,Cardiovascular Diseases,NULL,NULL,NULL,NULL,10
"Pregnancy Complications, Cardiovascular",C,C13.703.634,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,NULL,10
Psychomotor Disorders,C,C10.597.606.881,Neurobehavioral Manifestations,Neurologic Manifestations,Nervous System Diseases,NULL,NULL,10
Psychomotor Disorders,C,C23.888.592.604.882,Neurobehavioral Manifestations,Neurologic Manifestations,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,10
"Rhinitis, Allergic",C,C20.543.480.680.443,Respiratory Hypersensitivity,"Hypersensitivity, Immediate",Hypersensitivity,Immune System Diseases,NULL,10
"Rhinitis, Allergic",C,C08.674.453,Respiratory Hypersensitivity,Respiratory Tract Diseases,NULL,NULL,NULL,10
"Rhinitis, Allergic",C,C08.460.799.315,Rhinitis,Nose Diseases,Respiratory Tract Diseases,NULL,NULL,10
"Rhinitis, Allergic",C,C09.603.799.315,Rhinitis,Nose Diseases,Otorhinolaryngologic Diseases,NULL,NULL,10
Scalp Dermatoses,C,C17.800.738,Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,NULL,10
Toxoplasmosis,C,C01.610.752.250.800,Coccidiosis,Protozoan Infections,Parasitic Diseases,Infections,NULL,10
Urination Disorders,C,C12.777.934,Urologic Diseases,Male Urogenital Diseases,NULL,NULL,NULL,10
Urination Disorders,C,C13.351.968.934,Urologic Diseases,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,10
Ventricular Remodeling,C,C23.300.985,"Pathological Conditions, Anatomical","Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,10
"Wounds, Nonpenetrating",C,C26.974,Wounds and Injuries,NULL,NULL,NULL,NULL,10
"Wounds, Penetrating",C,C26.986,Wounds and Injuries,NULL,NULL,NULL,NULL,10
Acute-Phase Reaction,C,C23.550.470.099,Inflammation,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,9
AIDS Dementia Complex,C,C20.673.480.070,HIV Infections,Immunologic Deficiency Syndromes,Immune System Diseases,NULL,NULL,9
AIDS Dementia Complex,C,C01.221.250.875.049,HIV Infections,Blood-Borne Infections,Communicable Diseases,Infections,NULL,9
AIDS Dementia Complex,C,C01.221.812.640.400.070,HIV Infections,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Communicable Diseases,Infections,9
AIDS Dementia Complex,C,C01.778.640.400.070,HIV Infections,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Infections,NULL,9
AIDS Dementia Complex,C,C01.925.782.815.616.400.049,HIV Infections,Lentivirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,9
AIDS Dementia Complex,C,C01.925.813.400.070,HIV Infections,"Sexually Transmitted Diseases, Viral",Virus Diseases,Infections,NULL,9
AIDS Dementia Complex,C,C10.228.140.380.070,Dementia,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,9
Airway Obstruction,C,C08.618.846.185,Respiratory Insufficiency,Respiration Disorders,Respiratory Tract Diseases,NULL,NULL,9
Amblyopia,C,C10.228.140.055,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,NULL,9
Amblyopia,C,C11.966.073,Vision Disorders,Eye Diseases,NULL,NULL,NULL,9
Amblyopia,C,C10.597.751.941.073,Vision Disorders,Sensation Disorders,Neurologic Manifestations,Nervous System Diseases,NULL,9
Amblyopia,C,C23.888.592.763.941.073,Vision Disorders,Sensation Disorders,Neurologic Manifestations,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",9
Arsenic Poisoning,C,C25.723.098,Poisoning,Chemically-Induced Disorders,NULL,NULL,NULL,9
Arsenic Poisoning,C,C10.720.475.150,"Heavy Metal Poisoning, Nervous System",Neurotoxicity Syndromes,Nervous System Diseases,NULL,NULL,9
Asbestosis,C,C08.381.483.581.125,Pneumoconiosis,"Lung Diseases, Interstitial",Lung Diseases,Respiratory Tract Diseases,NULL,9
Asbestosis,C,C08.381.520.702.125,Pneumoconiosis,Lung Injury,Lung Diseases,Respiratory Tract Diseases,NULL,9
Asbestosis,C,C24.800.127,Pneumoconiosis,Occupational Diseases,NULL,NULL,NULL,9
Astigmatism,C,C11.744.212,Refractive Errors,Eye Diseases,NULL,NULL,NULL,9
Athletic Injuries,C,C26.115,Wounds and Injuries,NULL,NULL,NULL,NULL,9
"Carcinoma, Intraductal, Noninfiltrating",C,C04.557.470.200.025.275,Adenocarcinoma,Carcinoma,"Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,Neoplasms,9
"Carcinoma, Intraductal, Noninfiltrating",C,C04.557.470.615.275,"Neoplasms, Ductal, Lobular, and Medullary","Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,Neoplasms,NULL,9
"Carcinoma, Intraductal, Noninfiltrating",C,C04.557.470.200.240.187.250,Breast Carcinoma In Situ,Carcinoma in Situ,Carcinoma,"Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,9
"Carcinoma, Lobular",C,C04.557.470.615.305,"Neoplasms, Ductal, Lobular, and Medullary","Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,Neoplasms,NULL,9
"Carcinoma, Lobular",C,C04.557.470.200.025.305,Adenocarcinoma,Carcinoma,"Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,Neoplasms,9
"Carcinoma, Lobular",C,C04.588.180.437,Breast Neoplasms,Neoplasms by Site,Neoplasms,NULL,NULL,9
"Carcinoma, Lobular",C,C17.800.090.500.437,Breast Neoplasms,Breast Diseases,Skin Diseases,Skin and Connective Tissue Diseases,NULL,9
Chagas Cardiomyopathy,C,C14.280.238.190,Cardiomyopathies,Heart Diseases,Cardiovascular Diseases,NULL,NULL,9
Chagas Cardiomyopathy,C,C01.920.625.190,Chagas Disease,Vector Borne Diseases,Infections,NULL,NULL,9
Chagas Cardiomyopathy,C,C01.610.752.300.900.200.190,Chagas Disease,Trypanosomiasis,Euglenozoa Infections,Protozoan Infections,Parasitic Diseases,9
Choroidal Neovascularization,C,C11.941.160.244,Choroid Diseases,Uveal Diseases,Eye Diseases,NULL,NULL,9
Choroidal Neovascularization,C,C23.550.589.500.145,"Neovascularization, Pathologic",Metaplasia,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,9
Coccidiosis,C,C01.610.752.250,Protozoan Infections,Parasitic Diseases,Infections,NULL,NULL,9
Coloboma,C,C11.270.147,"Eye Diseases, Hereditary",Eye Diseases,NULL,NULL,NULL,9
Coloboma,C,C11.250.110,Eye Abnormalities,Eye Diseases,NULL,NULL,NULL,9
Coloboma,C,C16.131.384.282,Eye Abnormalities,Congenital Abnormalities,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,NULL,9
Constipation,C,C23.888.821.150,"Signs and Symptoms, Digestive",Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,9
Cysticercosis,C,C01.610.335.190.902.185,Taeniasis,Cestode Infections,Helminthiasis,Parasitic Diseases,Infections,9
Dental Caries,C,C07.793.720.210,Tooth Demineralization,Tooth Diseases,Stomatognathic Diseases,NULL,NULL,9
Diabetic Neuropathies,C,C19.246.099.937,Diabetes Complications,Diabetes Mellitus,Endocrine System Diseases,NULL,NULL,9
Diabetic Neuropathies,C,C10.668.829.300,Peripheral Nervous System Diseases,Neuromuscular Diseases,Nervous System Diseases,NULL,NULL,9
Ectoparasitic Infestations,C,C01.610.858.211,"Skin Diseases, Parasitic",Parasitic Diseases,Infections,NULL,NULL,9
Exanthema,C,C17.800.257,Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,NULL,9
Facial Dermatoses,C,C17.800.271,Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,NULL,9
"Fetal Membranes, Premature Rupture",C,C13.703.420.339,Obstetric Labor Complications,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,9
Frontotemporal Lobar Degeneration,C,C10.574.950.300,TDP-43 Proteinopathies,Neurodegenerative Diseases,Nervous System Diseases,NULL,NULL,9
Frontotemporal Lobar Degeneration,C,C18.452.845.800.300,TDP-43 Proteinopathies,Proteostasis Deficiencies,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,9
Frontotemporal Lobar Degeneration,C,C10.228.140.380.266,Dementia,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,9
Geographic Atrophy,C,C11.768.585.439.122,Macular Degeneration,Retinal Degeneration,Retinal Diseases,Eye Diseases,NULL,9
Glomerulonephritis,C,C12.777.419.570.363,Nephritis,Kidney Diseases,Urologic Diseases,Male Urogenital Diseases,NULL,9
Glomerulonephritis,C,C13.351.968.419.570.363,Nephritis,Kidney Diseases,Urologic Diseases,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,9
"Graft Occlusion, Vascular",C,C23.550.767.400,Postoperative Complications,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,9
Heartwater Disease,C,C22.434,Animal Diseases,NULL,NULL,NULL,NULL,9
Heartwater Disease,C,C01.150.252.400.285.500,Ehrlichiosis,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,Infections,9
Heartwater Disease,C,C01.150.252.400.054.750.500,Ehrlichiosis,Anaplasmataceae Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,9
Heartwater Disease,C,C01.920.930.300.500,Ehrlichiosis,Tick-Borne Diseases,Vector Borne Diseases,Infections,NULL,9
Hemorrhagic Fever with Renal Syndrome,C,C01.925.782.147.420.400,Hantavirus Infections,Bunyaviridae Infections,RNA Virus Infections,Virus Diseases,Infections,9
Hemorrhagic Fever with Renal Syndrome,C,C01.925.782.417.300,"Hemorrhagic Fevers, Viral",RNA Virus Infections,Virus Diseases,Infections,NULL,9
Hydrocephalus,C,C10.228.140.602,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,NULL,9
Hypokalemia,C,C18.452.950.565,Water-Electrolyte Imbalance,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,NULL,9
Intestinal Neoplasms,C,C04.588.274.476.411,Gastrointestinal Neoplasms,Digestive System Neoplasms,Neoplasms by Site,Neoplasms,NULL,9
Intestinal Neoplasms,C,C06.405.249.411,Gastrointestinal Neoplasms,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,9
Intestinal Neoplasms,C,C06.301.371.411,Gastrointestinal Neoplasms,Digestive System Neoplasms,Digestive System Diseases,NULL,NULL,9
Intestinal Neoplasms,C,C06.405.469.491,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,9
Intracranial Hemorrhages,C,C10.228.140.300.535,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,9
Intracranial Hemorrhages,C,C14.907.253.573,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,9
Intracranial Hemorrhages,C,C23.550.414.913,Hemorrhage,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,9
Irritable Bowel Syndrome,C,C06.405.469.158.272.608,"Colonic Diseases, Functional",Colonic Diseases,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,9
Leiomyoma,C,C04.557.450.590.450,"Neoplasms, Muscle Tissue","Neoplasms, Connective and Soft Tissue",Neoplasms by Histologic Type,Neoplasms,NULL,9
"Leprosy, Multibacillary",C,C01.150.252.410.040.552.475.371.775,Leprosy,"Mycobacterium Infections, Nontuberculous",Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,9
"Lymphoma, AIDS-Related",C,C04.557.386.480.150.450,"Lymphoma, B-Cell","Lymphoma, Non-Hodgkin",Lymphoma,Neoplasms by Histologic Type,Neoplasms,9
"Lymphoma, AIDS-Related",C,C20.683.515.761.480.150.450,"Lymphoma, B-Cell","Lymphoma, Non-Hodgkin",Lymphoma,Lymphoproliferative Disorders,Immunoproliferative Disorders,9
"Lymphoma, AIDS-Related",C,C15.604.515.569.480.150.450,"Lymphoma, B-Cell","Lymphoma, Non-Hodgkin",Lymphoma,Lymphoproliferative Disorders,Lymphatic Diseases,9
Meningeal Neoplasms,C,C10.551.240.500,Central Nervous System Neoplasms,Nervous System Neoplasms,Nervous System Diseases,NULL,NULL,9
Meningeal Neoplasms,C,C04.588.614.250.580,Central Nervous System Neoplasms,Nervous System Neoplasms,Neoplasms by Site,Neoplasms,NULL,9
Motor Neuron Disease,C,C10.574.562,Neurodegenerative Diseases,Nervous System Diseases,NULL,NULL,NULL,9
Motor Neuron Disease,C,C10.668.467,Neuromuscular Diseases,Nervous System Diseases,NULL,NULL,NULL,9
"Neovascularization, Pathologic",C,C23.550.589.500,Metaplasia,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,9
Ocular Hypertension,C,C11.525,Eye Diseases,NULL,NULL,NULL,NULL,9
Penile Neoplasms,C,C12.294.260.500,"Genital Neoplasms, Male","Genital Diseases, Male",Male Urogenital Diseases,NULL,NULL,9
