Label,category,Vocabulary ID,Parent,GrandParent,n
Chromosomes,A,A11.284.187,Cellular Structures,Cells,33
Chromosomes,G,G05.360.162,Genetic Structures,Genetic Phenomena,33
Corneal Ulcer,C,C01.375.177,Eye Infections,Infections,33
Corneal Ulcer,C,C11.294.177,Eye Infections,Eye Diseases,33
Corneal Ulcer,C,C11.204.564.225,Keratitis,Corneal Diseases,33
DDT,D,D02.455.526.439.255,"Hydrocarbons, Chlorinated","Hydrocarbons, Halogenated",33
Diabetic Angiopathies,C,C14.907.320,Vascular Diseases,Cardiovascular Diseases,33
Diabetic Angiopathies,C,C19.246.099.500,Diabetes Complications,Diabetes Mellitus,33
Diagnosis-Related Groups,N,N03.219.521.710.305.200.080,Prospective Payment System,Reimbursement Mechanisms,33
Embryonic and Fetal Development,G,G08.686.784.170,Reproduction,Reproductive Physiological Phenomena,33
Embryonic and Fetal Development,G,G07.345.500.325,Morphogenesis,Growth and Development,33
"Endarterectomy, Carotid",E,E04.100.814.456.250,Endarterectomy,Vascular Surgical Procedures,33
Epigenome,G,G05.360.340.006,Genome,Genetic Structures,33
"Eye Infections, Bacterial",C,C11.294.354,Eye Infections,Eye Diseases,33
"Eye Infections, Bacterial",C,C01.375.354,Eye Infections,Infections,33
"Eye Infections, Bacterial",C,C01.150.252.289,Bacterial Infections,Bacterial Infections and Mycoses,33
Glucose Tolerance Test,E,E01.370.225.124.100.355,Blood Chemical Analysis,Clinical Chemistry Tests,33
Glucose Tolerance Test,E,E01.370.374.355,"Diagnostic Techniques, Endocrine",Diagnostic Techniques and Procedures,33
Glucose Tolerance Test,E,E05.200.124.100.355,Blood Chemical Analysis,Clinical Chemistry Tests,33
Gram-Negative Bacteria,B,B03.440,Bacteria,NULL,33
Hypercholesterolemia,C,C18.452.584.500.500.396,Hyperlipidemias,Dyslipidemias,33
Immune Reconstitution Inflammatory Syndrome,C,C20.608,Immune System Diseases,NULL,33
Implementation Science,L,L01.143.320.400,Diffusion of Innovation,Communication,33
Information Services,L,L01.453,Information Science,NULL,33
Intrauterine Devices,E,E07.190.250.510,"Contraceptive Devices, Female",Contraceptive Devices,33
Lakes,G,G01.311.580,Geological Phenomena,Physical Phenomena,33
Lakes,N,N06.230.232.500,Fresh Water,Environment,33
Lakes,G,G16.500.275.280.500,Fresh Water,Environment,33
Learning,F,F02.784.629.529,"Psychology, Educational","Psychology, Applied",33
Learning,F,F02.463.425,Mental Processes,Psychological Phenomena,33
Live Birth,G,G08.686.784.769.496.249,Pregnancy Outcome,Pregnancy,33
Lung Transplantation,E,E04.936.450.495,Organ Transplantation,Transplantation,33
Lung Transplantation,E,E04.928.600.495,Pulmonary Surgical Procedures,Thoracic Surgical Procedures,33
Macrolides,D,D02.540.576.500,Polyketides,Lactones,33
Macrolides,D,D02.540.505,Lactones,Organic Chemicals,33
Macrolides,D,D04.345.674.500,Polyketides,Macrocyclic Compounds,33
Metagenomics,H,H01.158.273.343.350.261,Genomics,Genetics,33
Mosquito Nets,J,J01.494.221.750,Bedding and Linens,Household Articles,33
Mosquito Nets,E,E07.700.510,Protective Devices,Equipment and Supplies,33
Oocysts,G,G07.345.500.550.500.675,Life Cycle Stages,"Metamorphosis, Biological",33
Oocysts,A,A11.870.740.600,"Spores, Protozoan",Spores,33
Oocysts,B,B05.775.740.600,"Spores, Protozoan",Spores,33
Oocysts,B,B05.500.675,Life Cycle Stages,Organism Forms,33
Open Reading Frames,G,G05.360.335.760.640,Reading Frames,Genetic Code,33
Open Reading Frames,G,G05.360.340.024.340.137.650,Gene Components,Genes,33
Pharmacoepidemiology,H,H02.628.413,Pharmacology,Health Occupations,33
Pharmacoepidemiology,H,H01.158.703.045,Pharmacology,Biological Science Disciplines,33
Pharmacoepidemiology,H,H02.403.720.500.650,Epidemiology,Public Health,33
Polysaccharides,D,D09.698,Carbohydrates,NULL,33
Poultry Diseases,C,C22.131.728,Bird Diseases,Animal Diseases,33
"Pregnancy Complications, Hematologic",C,C15.378.785,Hematologic Diseases,Hemic and Lymphatic Diseases,33
"Pregnancy Complications, Hematologic",C,C13.703.667,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,33
Prosthesis Design,E,E07.695.680,Prostheses and Implants,Equipment and Supplies,33
Prosthesis Design,E,E05.320.550,Equipment Design,Investigative Techniques,33
"Sexually Transmitted Diseases, Bacterial",C,C13.351.500.711.281,Sexually Transmitted Diseases,"Genital Diseases, Female",33
"Sexually Transmitted Diseases, Bacterial",C,C12.294.668.281,Sexually Transmitted Diseases,"Genital Diseases, Male",33
"Sexually Transmitted Diseases, Bacterial",C,C23.550.291.531.937.281,Sexually Transmitted Diseases,Communicable Diseases,33
"Sexually Transmitted Diseases, Bacterial",C,C01.778.281,Sexually Transmitted Diseases,Infections,33
"Sexually Transmitted Diseases, Bacterial",C,C01.150.252.734,Bacterial Infections,Bacterial Infections and Mycoses,33
"Sexually Transmitted Diseases, Bacterial",C,C01.221.812.281,Sexually Transmitted Diseases,Communicable Diseases,33
Surgical Wound Infection,C,C01.947.692,Wound Infection,Infections,33
Surgical Wound Infection,C,C23.550.767.925,Postoperative Complications,Pathologic Processes,33
Transferrin,D,D12.776.377.715.182.839,Beta-Globulins,Serum Globulins,33
Transferrin,D,D12.776.124.050.800,Acute-Phase Proteins,Blood Proteins,33
Transferrin,D,D12.776.124.790.223.839,Beta-Globulins,Serum Globulins,33
Transferrin,D,D12.776.157.427.750.500,Transferrins,Iron-Binding Proteins,33
Transferrin,D,D12.776.556.579.750.500,Transferrins,Iron-Binding Proteins,33
Trichomonas vaginalis,B,B01.630.800.808.717,Trichomonas,Trichomonadida,33
Vaccinia virus,B,B04.280.650.160.650.900,Orthopoxvirus,Chordopoxvirinae,33
Vascular Diseases,C,C14.907,Cardiovascular Diseases,NULL,33
Vital Statistics,E,E05.318.308.985,Data Collection,Epidemiologic Methods,33
Vital Statistics,N,N06.850.520.308.985,Data Collection,Epidemiologic Methods,33
Vital Statistics,N,N06.850.505.400.975,Demography,Epidemiologic Measurements,33
Vital Statistics,N,N01.224.935,Demography,Population Characteristics,33
Vomiting,C,C23.888.821.937,"Signs and Symptoms, Digestive",Signs and Symptoms,33
"Abortion, Legal",E,E04.520.050.055,"Abortion, Induced",Obstetric Surgical Procedures,32
"Administration, Intravenous",E,E02.319.267.082,Drug Administration Routes,Drug Therapy,32
Alanine Transaminase,D,D08.811.913.477.700.100,Transaminases,Nitrogenous Group Transferases,32
Angola,Z,Z01.058.290.175.095,"Africa, Southern",Africa South of the Sahara,32
"Anthropology, Medical",F,F04.096.879.201.500,Anthropology,Social Sciences,32
"Anthropology, Medical",I,I01.076.284,Anthropology,Social Sciences,32
Asymptomatic Diseases,C,C23.550.291.187,Disease Attributes,Pathologic Processes,32
Bacterial Adhesion,G,G06.099.050,Bacterial Physiological Phenomena,Microbiological Phenomena,32
Cats,B,B01.050.150.900.649.313.750.377.750.250.125,Felis,Felidae,32
Cell Count,E,E01.370.225.500.195,Cytological Techniques,Clinical Laboratory Techniques,32
Cell Count,G,G04.140,Cell Physiological Phenomena,NULL,32
Cell Count,E,E05.200.500.195,Cytological Techniques,Clinical Laboratory Techniques,32
Cell Count,E,E05.242.195,Cytological Techniques,Investigative Techniques,32
Child Behavior Disorders,F,F03.625.141,Neurodevelopmental Disorders,Mental Disorders,32
Coercion,I,I01.880.604.316,"Social Control, Formal",Sociology,32
Coercion,I,I01.880.630.200,"Social Control, Informal",Sociology,32
Craniocerebral Trauma,C,C26.915.300,"Trauma, Nervous System",Wounds and Injuries,32
Craniocerebral Trauma,C,C10.900.300,"Trauma, Nervous System",Nervous System Diseases,32
Cryptosporidiosis,C,C22.674.710.235,"Protozoan Infections, Animal","Parasitic Diseases, Animal",32
Cryptosporidiosis,C,C01.610.752.625.235,"Protozoan Infections, Animal",Protozoan Infections,32
Cryptosporidiosis,C,C01.610.752.250.269,Coccidiosis,Protozoan Infections,32
Cryptosporidiosis,C,C01.610.701.688.235,"Protozoan Infections, Animal","Parasitic Diseases, Animal",32
Cryptosporidiosis,C,C01.610.432.269,"Intestinal Diseases, Parasitic",Parasitic Diseases,32
Cryptosporidiosis,C,C06.405.469.452.269,"Intestinal Diseases, Parasitic",Intestinal Diseases,32
DNA Repair,G,G02.111.222,Biochemical Phenomena,Chemical Phenomena,32
DNA Repair,G,G05.219,Genetic Phenomena,NULL,32
"Dose-Response Relationship, Immunologic",G,G12.300,Immune System Phenomena,NULL,32
Erythema Nodosum,C,C20.543.206.380.375,Drug Eruptions,Drug Hypersensitivity,32
Erythema Nodosum,C,C25.100.468.380.375,Drug Eruptions,Drug Hypersensitivity,32
Erythema Nodosum,C,C17.800.229.413,Erythema,Skin Diseases,32
Erythema Nodosum,C,C17.800.174.600.375,Drug Eruptions,Dermatitis,32
Estonia,Z,Z01.542.248.136.360,Baltic States,"Europe, Eastern",32
Food Microbiology,N,N06.850.601.500.249.300,Food Contamination,Food Safety,32
Food Microbiology,H,H01.158.273.540.274.332,Environmental Microbiology,Microbiology,32
Food Microbiology,J,J01.576.423.850.730.500.249.300,Food Contamination,Food Safety,32
Food Microbiology,N,N06.850.425.200,Environmental Microbiology,Public Health,32
Food Microbiology,N,N06.850.460.400.300,Food Contamination,Environmental Pollution,32
Guinea Pigs,B,B01.050.150.900.649.313.992.550,Rodentia,Eutheria,32
Hand Hygiene,E,E02.547.300,Hygiene,Therapeutics,32
Hand Hygiene,N,N06.850.670.150,Hygiene,Public Health,32
Heart Disease Risk Factors,N,N06.850.520.830.600.800.725.500,Risk Factors,Risk,32
Heart Disease Risk Factors,N,N06.850.490.625.750.500,Risk Factors,Causality,32
Heart Disease Risk Factors,N,N05.715.360.750.625.700.700.500,Risk Factors,Risk,32
Heart Disease Risk Factors,N,N05.715.350.200.700.500,Risk Factors,Causality,32
Heart Disease Risk Factors,E,E05.318.740.600.800.725.500,Risk Factors,Risk,32
Hepatitis C Antibodies,D,D12.776.124.790.651.114.254.450.510,Hepatitis Antibodies,"Antibodies, Viral",32
Hepatitis C Antibodies,D,D12.776.124.486.485.114.254.450.510,Hepatitis Antibodies,"Antibodies, Viral",32
Hepatitis C Antibodies,D,D12.776.377.715.548.114.254.450.510,Hepatitis Antibodies,"Antibodies, Viral",32
Histocompatibility Antigens Class I,D,D12.776.395.550.489,Membrane Glycoproteins,Glycoproteins,32
Histocompatibility Antigens Class I,D,D23.050.705.552.100,Histocompatibility Antigens,Isoantigens,32
Histocompatibility Antigens Class I,D,D23.050.301.500.100,Histocompatibility Antigens,"Antigens, Surface",32
Histocompatibility Antigens Class I,D,D12.776.543.550.439,Membrane Glycoproteins,Membrane Proteins,32
Human papillomavirus 18,B,B04.280.210.655.050.618,Alphapapillomavirus,Papillomaviridae,32
Human papillomavirus 18,B,B04.613.204.655.050.618,Alphapapillomavirus,Papillomaviridae,32
Interferon-alpha,D,D12.776.467.374.440.890.250,Interferon Type I,Interferons,32
Interferon-alpha,D,D23.529.374.440.890.250,Interferon Type I,Interferons,32
Interferon-alpha,D,D12.644.276.374.440.890.250,Interferon Type I,Interferons,32
Interleukin-8,D,D12.644.276.374.200.120.800,"Chemokines, CXC",Chemokines,32
Interleukin-8,D,D12.644.276.374.465.312,Interleukins,Cytokines,32
Interleukin-8,D,D23.529.374.465.312,Interleukins,Cytokines,32
Interleukin-8,D,D23.469.200.120.800,"Chemokines, CXC",Chemokines,32
Interleukin-8,D,D23.529.374.200.120.800,"Chemokines, CXC",Chemokines,32
Interleukin-8,D,D23.125.300.120.800,"Chemokines, CXC",Chemokines,32
Interleukin-8,D,D12.776.467.374.465.246,Interleukins,Cytokines,32
Interleukin-8,D,D12.776.467.374.200.120.800,"Chemokines, CXC",Chemokines,32
International Classification of Diseases,L,L01.453.245.945.400,"Vocabulary, Controlled",Documentation,32
"Interview, Psychological",F,F04.669.599,Psychological Techniques,Behavioral Disciplines and Activities,32
"Iron, Dietary",D,D01.490.600,Iron Compounds,Inorganic Chemicals,32
"Lenses, Intraocular",E,E07.695.460,Prostheses and Implants,Equipment and Supplies,32
"Lenses, Intraocular",E,E07.632.500.460,Lenses,Optical Devices,32
Leptospirosis,C,C01.150.252.400.794.511,Spirochaetales Infections,Gram-Negative Bacterial Infections,32
Marketing of Health Services,N,N03.219.463.548,Financial Management,Economics,32
Marketing of Health Services,N,N05.300.430.500,Health Services Accessibility,Delivery of Health Care,32
Marketing of Health Services,J,J01.219.687.550,Marketing,Commerce,32
Masculinity,F,F01.145.813.376,Social Behavior,Behavior,32
Masculinity,F,F01.752.747.385.200.750,Gender Identity,"Identification, Psychological",32
Masculinity,F,F01.393.446.250.750,Gender Identity,"Identification, Psychological",32
Medical Oncology,H,H02.403.429.515,Internal Medicine,Medicine,32
Mitochondria,A,A11.284.430.214.190.875.564,Organelles,Cytoplasmic Structures,32
Mitochondria,A,A11.284.835.626,Subcellular Fractions,Cellular Structures,32
Musculoskeletal Diseases,C,C05,NULL,NULL,32
Neuroimaging,E,E01.370.376.537,"Diagnostic Techniques, Neurological",Diagnostic Techniques and Procedures,32
Neuroimaging,E,E01.370.350.578,Diagnostic Imaging,Diagnostic Techniques and Procedures,32
Neuroimaging,E,E05.629,Investigative Techniques,NULL,32
Odorants,G,G16.500.275.640,Environment,Ecological and Environmental Phenomena,32
Odorants,N,N06.230.480,Environment,Environment and Public Health,32
Opiate Substitution Treatment,E,E02.319.620,Drug Therapy,Therapeutics,32
Physical Distancing,N,N06.850.780.200.688,Communicable Disease Control,Public Health Practice,32
Post-Exposure Prophylaxis,N,N02.421.726.755,Preventive Health Services,Health Services,32
"Pregnancy Trimester, Third",G,G08.686.707.520,Pregnancy Trimesters,Reproductive Physiological Phenomena,32
Prostatic Hyperplasia,C,C12.294.565.500,Prostatic Diseases,"Genital Diseases, Male",32
Psychomotor Performance,F,F02.808,Psychological Phenomena,NULL,32
Psychomotor Performance,G,G11.561.660,Nervous System Physiological Phenomena,Musculoskeletal and Neural Physiological Phenomena,32
Psychomotor Performance,G,G11.427.700,Musculoskeletal Physiological Phenomena,Musculoskeletal and Neural Physiological Phenomena,32
Retina,A,A09.371.729,Eye,Sense Organs,32
RNA Interference,G,G05.308.203.374.790,Gene Silencing,"Epigenesis, Genetic",32
Sewage,D,D20.944.932.500,Waste Water,Waste Products,32
Social Problems,I,I01.880.735,Sociology,Social Sciences,32
Somalia,Z,Z01.058.290.120.730,"Africa, Eastern",Africa South of the Sahara,32
Spironolactone,D,D04.210.500.745.745.855,Pregnenes,Pregnanes,32
Spironolactone,D,D02.540.679,Lactones,Organic Chemicals,32
Stroke Rehabilitation,E,E02.760.169.063.500.477.500,Neurological Rehabilitation,Rehabilitation,32
Stroke Rehabilitation,H,H02.403.680.600.750.500,Neurological Rehabilitation,Rehabilitation,32
Stroke Rehabilitation,N,N02.421.784.511.500,Neurological Rehabilitation,Rehabilitation,32
Stroke Rehabilitation,E,E02.831.477.500,Neurological Rehabilitation,Rehabilitation,32
Strongyloidiasis,C,C01.610.335.508.700.700.799,Rhabditida Infections,Secernentea Infections,32
Taiwan,Z,Z01.252.474.872,Far East,Asia,32
Taiwan,Z,Z01.639.850,Islands,Geographic Locations,32
Transfusion Reaction,C,C15.378.962,Hematologic Diseases,Hemic and Lymphatic Diseases,32
Transfusion Reaction,C,C20.920,Immune System Diseases,NULL,32
"Air Pollutants, Occupational",D,D27.888.284.101.268,Air Pollutants,Environmental Pollutants,31
Alkanesulfonic Acids,D,D02.886.645.600.055,Sulfonic Acids,Sulfur Acids,31
Alkanesulfonic Acids,D,D02.455.326.146.100,Alkanes,"Hydrocarbons, Acyclic",31
"Analgesics, Opioid",D,D27.505.954.427.040.550.500,Narcotics,Analgesics,31
"Analgesics, Opioid",D,D27.505.954.427.210.600.500,Narcotics,Central Nervous System Depressants,31
"Analgesics, Opioid",D,D27.505.696.663.850.014.760.500,Narcotics,Analgesics,31
"Analgesics, Opioid",D,D27.505.696.277.600.500,Narcotics,Central Nervous System Depressants,31
Ancylostomatoidea,B,B01.050.500.500.294.400.968.100,Strongylida,Chromadorea,31
Ascorbic Acid,D,D02.241.511.902.107,Sugar Acids,Hydroxy Acids,31
Ascorbic Acid,D,D02.241.081.844.107,Sugar Acids,"Acids, Acyclic",31
Ascorbic Acid,D,D09.811.100,Sugar Acids,Carbohydrates,31
Biomedical Technology,J,J01.897.120.050,Biotechnology,Technology,31
Bolivia,Z,Z01.107.757.136,South America,Americas,31
"Calcification, Physiologic",G,G11.427.578.050.500.175,Bone Development,Biomineralization,31
"Calcification, Physiologic",G,G07.345.500.325.377.625.050.500.175,Bone Development,Biomineralization,31
"Calcification, Physiologic",G,G07.345.155.500,Biomineralization,Growth and Development,31
Copper,D,D01.552.544.195,"Metals, Heavy",Metals,31
Copper,D,D01.268.556.195,"Metals, Heavy",Elements,31
Copper,D,D01.268.956.170,Transition Elements,Elements,31
Cyclic GMP-Dependent Protein Kinases,D,D08.811.913.696.620.682.700.150.150,Cyclic Nucleotide-Regulated Protein Kinases,Protein-Serine-Threonine Kinases,31
Cyclic GMP-Dependent Protein Kinases,D,D12.644.360.200.150,Cyclic Nucleotide-Regulated Protein Kinases,Intracellular Signaling Peptides and Proteins,31
Cyclic GMP-Dependent Protein Kinases,D,D12.776.476.200.150,Cyclic Nucleotide-Regulated Protein Kinases,Intracellular Signaling Peptides and Proteins,31
Death,C,C23.550.260,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",31
Diptera,B,B01.050.500.131.617.720.500.500.750,Holometabola,Neoptera,31
"Drugs, Essential",D,D26.355,Pharmaceutical Preparations,NULL,31
Economic Development,I,I01.261.262,Economics,Social Sciences,31
Economic Development,N,N03.219.206,Economics,Health Care Economics and Organizations,31
Entamoebiasis,C,C01.610.752.049.407,Amebiasis,Protozoan Infections,31
Enterobacteriaceae Infections,C,C01.150.252.400.310,Gram-Negative Bacterial Infections,Bacterial Infections,31
Entomology,H,H01.158.273.943.409,Zoology,Biology,31
Enzyme Activation,G,G02.111.263,Biochemical Phenomena,Chemical Phenomena,31
Enzyme Activation,G,G03.328,Metabolism,NULL,31
Erythrocyte Transfusion,E,E02.095.135.140.275,Blood Component Transfusion,Blood Transfusion,31
Extracellular Matrix,A,A11.284.295.310,Extracellular Space,Cellular Structures,31
Filaricides,D,D27.505.954.122.250.075.080.275,Antinematodal Agents,Anthelmintics,31
Gambling,F,F03.250.400,"Disruptive, Impulse Control, and Conduct Disorders",Mental Disorders,31
Gambling,F,F01.145.722.408,Risk-Taking,Behavior,31
"Genital Diseases, Male",C,C12.294,Male Urogenital Diseases,NULL,31
Geographic Mapping,E,E05.318.740.933.249,Spatial Analysis,Statistics as Topic,31
Geographic Mapping,E,E05.318.389,Epidemiologic Methods,Investigative Techniques,31
Geographic Mapping,N,N05.715.360.750.746.249,Spatial Analysis,Statistics as Topic,31
Geographic Mapping,N,N06.850.520.830.933.249,Spatial Analysis,Statistics as Topic,31
Gram-Negative Bacterial Infections,C,C01.150.252.400,Bacterial Infections,Bacterial Infections and Mycoses,31
Healthy People Programs,N,N02.421.726.407.579.300,Health Promotion,Health Education,31
Healthy People Programs,I,I02.233.332.445.300,Health Promotion,Health Education,31
Heat Stress Disorders,C,C26.522,Wounds and Injuries,NULL,31
"Hospitals, Pediatric",N,N02.278.421.556.437,"Hospitals, Special",Hospitals,31
Infant Welfare,I,I01.880.787.539,Social Welfare,Sociology,31
Lassa virus,B,B04.820.480.500.070.100.500,"Arenaviruses, Old World",Arenavirus,31
Licensure,N,N05.700.200.450,Credentialing,"Quality Assurance, Health Care",31
Licensure,N,N03.706.110.510,Credentialing,"Social Control, Formal",31
Minisatellite Repeats,G,G02.111.570.080.708.800.550,Tandem Repeat Sequences,"Repetitive Sequences, Nucleic Acid",31
Minisatellite Repeats,G,G05.360.080.708.800.550,Tandem Repeat Sequences,"Repetitive Sequences, Nucleic Acid",31
Minisatellite Repeats,G,G05.360.340.024.850.550,Tandem Repeat Sequences,Genome Components,31
"Obesity, Abdominal",G,G07.100.100.160.120.699.500.249,Obesity,Overweight,31
"Obesity, Abdominal",C,C18.654.726.500.615,Obesity,Overnutrition,31
"Obesity, Abdominal",E,E01.370.600.115.100.160.120.699.500.249,Obesity,Overweight,31
Patient Care Planning,N,N04.590.233.624,Comprehensive Health Care,Patient Care Management,31
"Peer Review, Research",N,N03.706.700.700,Peer Review,"Social Control, Formal",31
"Peer Review, Research",L,L01.737.640,Publishing,Information Science,31
"Peer Review, Research",I,I01.880.604.640.700,Peer Review,"Social Control, Formal",31
"Peer Review, Research",L,L01.143.865.750,Scholarly Communication,Communication,31
"Peer Review, Research",H,H01.770.644.487,Research,Science,31
"Peer Review, Research",F,F01.829.316.549.700,Peer Review,Group Processes,31
Personal Autonomy,F,F02.600,Psychological Phenomena,NULL,31
Personal Autonomy,I,I01.880.604.473.380.500,Freedom,Human Rights,31
Personal Autonomy,K,K01.752.566.479.830.650,Principle-Based Ethics,Ethics,31
Personal Autonomy,N,N03.706.437.380.500,Freedom,Human Rights,31
Personal Autonomy,N,N05.350.958.650,Principle-Based Ethics,Ethics,31
Phacoemulsification,E,E04.540.825.249.704,Cataract Extraction,Refractive Surgical Procedures,31
Phacoemulsification,E,E04.943.875,Ultrasonic Surgical Procedures,"Surgical Procedures, Operative",31
Plasma,A,A12.207.152.693,Blood,Body Fluids,31
Plasma,A,A12.207.270.695,Extracellular Fluid,Body Fluids,31
Plasma,A,A15.145.693,Blood,Hemic and Immune Systems,31
Rare Diseases,C,C23.550.291.906,Disease Attributes,Pathologic Processes,31
Regional Health Planning,N,N03.349.650,Health Planning,Health Care Economics and Organizations,31
Septins,D,D12.776.220.932,Cytoskeletal Proteins,Proteins,31
Septins,D,D12.776.157.325.757,GTP-Binding Proteins,Carrier Proteins,31
Septins,D,D08.811.277.040.330.300.700,GTP-Binding Proteins,GTP Phosphohydrolases,31
Sialoglycoproteins,D,D12.776.395.700,Glycoproteins,Proteins,31
Sialoglycoproteins,D,D12.644.233.800,Glycopeptides,Peptides,31
"Sociology, Medical",I,I01.880.859,Sociology,Social Sciences,31
"Sociology, Medical",H,H02.790,Health Occupations,NULL,31
"Sociology, Medical",F,F04.096.879.757.400,Sociology,Social Sciences,31
Telomere,G,G05.360.160.845,Chromosome Structures,Genetic Structures,31
Telomere,A,A11.284.430.106.279.345.190.160.845,Chromosome Structures,Chromosomes,31
Testosterone,D,D04.210.500.054.079.429.824,Androstenols,Androstenes,31
Testosterone,D,D06.472.334.851.968.984,Testosterone Congeners,Gonadal Steroid Hormones,31
Time,G,G01.910,Physical Phenomena,NULL,31
Trabeculectomy,E,E04.540.450.700,Filtering Surgery,Ophthalmologic Surgical Procedures,31
Travel-Related Illness,I,I03.883.855,Travel,Human Activities,31
Travel-Related Illness,C,C23.888.914,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",31
Triatominae,B,B01.050.500.131.617.412.420.700.850,Reduviidae,Heteroptera,31
White Matter,A,A08.186.211.204,Brain,Central Nervous System,31
White Matter,A,A08.186.854.880,Spinal Cord,Central Nervous System,31
Work,I,I03.946,Human Activities,NULL,31
"Adaptor Proteins, Signal Transducing",D,D12.644.360.024,Intracellular Signaling Peptides and Proteins,Peptides,30
"Adaptor Proteins, Signal Transducing",D,D12.776.157.057,Carrier Proteins,Proteins,30
"Adaptor Proteins, Signal Transducing",D,D12.776.476.024,Intracellular Signaling Peptides and Proteins,Proteins,30
Allied Health Personnel,N,N02.360.067,Health Personnel,"Health Care Facilities, Manpower, and Services",30
Allied Health Personnel,M,M01.526.485.067,Health Personnel,Occupational Groups,30
"Anti-Infective Agents, Local",D,D27.505.954.122.187,Anti-Infective Agents,Therapeutic Uses,30
Aortic Valve,A,A07.541.510.110,Heart Valves,Heart,30
Bordetella pertussis,B,B03.440.400.425.115.425.600,Bordetella,Alcaligenaceae,30
Bordetella pertussis,B,B03.660.075.090.344.425.600,Bordetella,Alcaligenaceae,30
Carbapenems,D,D02.065.589.099.124,beta-Lactams,Lactams,30
Carbapenems,D,D03.633.100.300.124,beta-Lactams,"Heterocyclic Compounds, 2-Ring",30
Carbonated Beverages,J,J02.200.300,Beverages,Food and Beverages,30
Carbonated Beverages,G,G07.203.100.300,Beverages,"Diet, Food, and Nutrition",30
Contrast Media,D,D27.720.259,Specialty Uses of Chemicals,Chemical Actions and Uses,30
Contrast Media,D,D27.505.259.500,Diagnostic Uses of Chemicals,Pharmacologic Actions,30
Cytoskeleton,A,A11.284.430.214.190.750,Cytoplasmic Structures,Cytoplasm,30
"Cytotoxicity, Immunologic",G,G12.287,Immune System Phenomena,NULL,30
Diuretics,D,D27.505.696.560.500,Natriuretic Agents,Physiological Effects of Drugs,30
DNA Copy Number Variations,G,G05.365.795.297.500,Genomic Structural Variation,"Polymorphism, Genetic",30
DNA-Directed RNA Polymerases,D,D08.811.913.696.445.735.270,RNA Nucleotidyltransferases,Nucleotidyltransferases,30
Drug Synergism,G,G07.690.773.968.477,Drug Interactions,Pharmacological Phenomena,30
Educational Measurement,I,I02.399,Education,NULL,30
Efficiency,N,N04.452.209,Organization and Administration,Health Services Administration,30
Efficiency,F,F02.784.692.351,"Psychology, Industrial","Psychology, Applied",30
Enzyme-Linked Immunospot Assay,E,E05.200.500.508,Cytological Techniques,Clinical Laboratory Techniques,30
Enzyme-Linked Immunospot Assay,E,E05.242.551,Cytological Techniques,Investigative Techniques,30
Enzyme-Linked Immunospot Assay,E,E05.601.470.380.360.500,Enzyme-Linked Immunosorbent Assay,Immunosorbent Techniques,30
Enzyme-Linked Immunospot Assay,E,E05.601.470.350.170.500,Enzyme-Linked Immunosorbent Assay,Immunoenzyme Techniques,30
Enzyme-Linked Immunospot Assay,E,E05.478.583.400.170.500,Enzyme-Linked Immunosorbent Assay,Immunoenzyme Techniques,30
Enzyme-Linked Immunospot Assay,E,E05.478.566.380.360.500,Enzyme-Linked Immunosorbent Assay,Immunosorbent Techniques,30
Enzyme-Linked Immunospot Assay,E,E05.478.566.350.170.500,Enzyme-Linked Immunosorbent Assay,Immunoenzyme Techniques,30
Enzyme-Linked Immunospot Assay,E,E01.370.225.500.508,Cytological Techniques,Clinical Laboratory Techniques,30
Extracorporeal Membrane Oxygenation,E,E04.292.451,Extracorporeal Circulation,"Surgical Procedures, Operative",30
Extracorporeal Membrane Oxygenation,E,E02.880.301,Respiratory Therapy,Therapeutics,30
Fast Foods,G,G07.203.300.477,Food,"Diet, Food, and Nutrition",30
Fast Foods,J,J02.500.477,Food,Food and Beverages,30
Fatal Outcome,N,N06.850.505.400.975.550.325,Mortality,Vital Statistics,30
Fatal Outcome,N,N06.850.520.308.985.550.325,Mortality,Vital Statistics,30
Fatal Outcome,N,N01.224.935.698.201,Mortality,Vital Statistics,30
Fatal Outcome,E,E05.318.308.985.550.325,Mortality,Vital Statistics,30
Fishes,B,B01.050.150.900.493,Vertebrates,Chordata,30
"Gene Expression Regulation, Enzymologic",G,G05.308.320,Gene Expression Regulation,Genetic Phenomena,30
"Genes, BRCA1",G,G05.360.340.024.340.415.400.100,"Genes, Tumor Suppressor","Genes, Recessive",30
"Genes, BRCA1",G,G05.360.340.024.340.375.249.100,"Genes, Tumor Suppressor","Genes, Neoplasm",30
Growth Charts,E,E05.978.808.500,Reference Standards,Weights and Measures,30
Head and Neck Neoplasms,C,C04.588.443,Neoplasms by Site,Neoplasms,30
Homes for the Aged,N,N02.278.825.462,Residential Facilities,Health Facilities,30
Homes for the Aged,J,J03.775.462,Residential Facilities,Non-Medical Public and Private Facilities,30
"Hospitals, Rural",N,N02.278.421.518,Hospitals,Health Facilities,30
HTLV-I Infections,C,C01.925.782.815.200.470,Deltaretrovirus Infections,Retroviridae Infections,30
